	City	Country	Home Office Room Rent (EUR)	Accommodation Availability (Score)	Income Tax	 incl. Social Contributions ()	Internet Speed & Capacity (Score)	Remote Working Infrastructure (Score)	Safety	 Freedom & Rights (Score)	Gender Equality (Score)	LGBT+ Equality (Score)	Minority Equality (Score)	Covid-19 Vaccination Rate ()	Cost of Living (Score)	Healthcare (Score)	Culture & Leisure (Score)	Weather (Score)	Pollution - Air	 Light	 Noise (Score)	TOTAL
0	Melbourne	Australia	681.0	72.16	27.32	79.4	91.8	98.1	99.78	96.27	97.78	11.51	81.84	97.74	93.75	83.49	93.79	100.0				
1	Dubai	UAE	890.0	65.69	0.0	76.7	69.1	90.8	50.0	50.0	74.04	45.09	79.4	76.4	70.92	64.58	82.61	96.64				
2	Sydney	Australia	767.0	75.9	27.32	82.0	91.8	98.1	99.78	96.16	97.78	11.51	73.31	98.16	79.65	85.29	96.17	92.62				
3	Tallinn	Estonia	394.0	81.25	20.0	85.0	70.0	96.5	99.39	94.41	96.78	31.28	92.61	85.0	54.32	74.84	99.21	88.11				
4	London	UK	1281.0	75.24	29.86	79.5	98.4	97.4	99.35	99.14	97.78	52.79	65.91	95.81	100.0	81.97	89.42	87.18				
5	Tokyo	Japan	914.0	50.0	30.74	79.6	89.1	96.9	91.61	88.57	97.78	9.9	81.88	97.87	94.89	80.54	84.68	86.81				
6	Singapore	Singapore	1475.0	86.3	16.63	85.9	95.6	95.8	94.67	81.99	92.98	37.54	73.07	96.09	72.55	65.68	89.31	85.5				
7	Glasgow	UK	564.0	90.12	32.3	77.4	98.4	97.4	99.35	97.63	97.78	52.79	88.65	97.16	80.48	74.84	97.78	84.74				
8	Montreal	Canada	526.0	81.51	31.61	77.1	92.1	98.8	98.98	98.32	98.12	39.04	87.75	96.7	80.76	74.28	95.84	84.07				
9	Berlin	Germany	757.0	73.18	39.98	86.6	90.4	98.4	97.79	99.64	95.64	37.02	84.05	93.0	84.39	82.15	90.49	82.88				
10	Prague	Czechia	338.0	94.42	30.3	80.0	62.0	94.8	96.4	92.56	95.64	31.42	89.71	87.24	66.0	82.02	92.38	82.61				
11	Toronto	Canada	769.0	81.1	26.99	83.9	92.1	98.8	98.98	97.15	98.12	39.04	77.97	98.26	74.53	77.61	95.46	82.41				
12	Chicago	USA	704.0	75.56	27.5	80.8	81.3	96.4	98.59	95.95	95.57	50.04	76.06	90.76	81.82	78.29	91.81	82.32				
13	Hong Kong	Hong Kong	1395.0	71.4	14.68	91.4	69.7	96.4	95.18	87.25	96.78	19.78	68.44	80.86	69.41	77.2	81.24	81.26				
14	Lisbon	Portugal	602.0	84.46	43.81	81.4	74.2	96.5	98.81	97.42	97.78	33.68	87.35	90.86	79.58	83.98	88.83	81.16				
15	Cape Town	South Africa	430.0	70.5	17.75	69.9	64.8	89.5	96.4	93.9	95.08	0.95	90.8	65.26	78.19	91.45	88.19	80.93				
16	Edinburgh	UK	686.0	92.43	32.3	79.6	98.4	97.4	99.35	97.51	97.78	52.79	83.76	96.81	73.11	78.04	99.13	80.72				
17	Vienna	Austria	675.0	69.41	24.88	79.7	90.3	98.3	98.65	97.83	95.64	35.32	85.46	91.96	64.57	82.12	94.24	80.11				
18	Los Angeles	USA	1389.0	68.71	29.66	84.9	93.2	96.4	98.67	97.61	95.57	52.82	69.12	90.22	82.1	91.19	89.78	79.88				
19	New York	USA	1512.0	71.32	28.32	88.1	96.6	96.4	98.96	97.06	95.57	54.15	58.29	90.2	85.5	78.92	94.59	79.4				
20	Madrid	Spain	661.0	88.58	38.38	88.6	72.4	94.5	98.82	99.19	97.78	36.67	86.53	96.0	83.69	82.41	94.01	79.17				
21	Miami	USA	1149.0	69.53	22.66	82.7	78.4	96.4	98.35	94.71	95.57	46.95	73.95	90.24	69.32	78.48	95.36	78.59				
22	Reykjavik	Iceland	758.0	83.8	38.99	100.0	84.2	98.6	100.0	97.33	97.78	50.35	77.3	97.08	56.0	72.05	98.36	78.39				
23	Seattle	USA	1129.0	64.81	22.66	81.6	85.0	96.4	98.73	96.79	95.57	54.89	70.12	92.06	66.23	83.23	98.69	78.05				
24	San Francisco	USA	1736.0	70.98	29.66	84.8	99.9	96.4	98.67	98.27	95.57	52.82	50.0	90.77	87.93	89.18	96.3	78.02				
25	Tampa	USA	835.0	67.64	22.66	86.4	82.2	96.4	98.35	93.57	95.57	46.95	82.47	91.18	58.88	76.83	94.46	77.38				
26	Austin	USA	764.0	68.4	22.66	88.7	88.8	96.4	98.17	92.47	95.57	42.12	78.89	91.11	59.84	73.8	94.97	77.12				
27	Saint Petersburg	Russia	139.0	67.87	13.65	72.0	75.1	63.0	92.25	68.16	75.78	11.26	95.12	76.22	62.86	72.67	90.59	77.06				
28	Barcelona	Spain	629.0	87.67	39.18	87.3	72.4	94.5	98.82	99.22	97.78	36.67	86.6	95.83	79.64	87.07	90.77	77.0				
29	Houston	USA	653.0	69.61	22.66	84.5	79.1	96.4	98.17	91.78	95.57	42.12	83.3	91.19	59.07	75.15	92.05	76.93				
30	Athens	Greece	489.0	76.99	37.71	71.0	73.2	89.4	94.6	91.18	94.3	34.09	94.27	83.24	65.29	80.89	80.09	76.93				
31	Dublin	Ireland	1099.0	81.03	28.22	76.0	92.7	97.9	97.17	98.01	99.07	19.48	71.09	87.4	74.99	78.6	96.56	76.91				
32	Buenos Aires	Argentina	436.0	69.87	33.6	68.7	80.1	86.1	93.33	96.84	97.78	18.13	97.74	74.98	81.86	80.74	91.34	76.88				
33	Chiang Mai	Thailand	315.0	55.67	22.2	79.1	54.9	77.9	93.36	93.33	89.06	4.43	96.99	81.97	56.93	85.41	79.27	76.39				
34	Indianapolis	USA	515.0	69.0	22.86	82.1	77.5	96.4	98.79	93.49	95.57	40.59	88.3	91.35	53.46	80.03	92.59	76.11				
35	Paris	France	1296.0	64.98	37.96	84.1	79.6	96.3	98.77	96.97	95.64	33.12	76.74	92.63	86.95	84.11	88.71	75.98				
36	Auckland	New Zealand	796.0	73.4	27.04	81.7	88.9	99.9	99.9	96.84	97.78	8.04	80.23	94.46	55.84	84.71	98.39	75.94				
37	Pittsburgh	USA	598.0	74.3	25.73	86.8	90.5	96.4	98.27	92.28	95.57	53.94	83.99	92.03	53.26	83.37	94.1	75.52				
38	Vancouver	Canada	848.0	66.12	24.73	79.0	92.1	98.8	98.98	96.97	98.12	39.04	77.54	98.21	55.97	79.64	98.19	75.44				
39	Munich	Germany	1058.0	72.89	41.32	80.8	90.4	98.4	97.79	98.73	95.64	37.02	77.64	94.17	73.7	80.78	94.43	75.04				
40	Nashville	USA	726.0	68.45	22.66	83.4	78.0	96.4	98.51	90.21	95.57	36.96	79.03	89.92	56.99	81.43	94.42	74.93				
41	Bern	Switzerland	820.0	64.89	26.5	91.6	100.0	99.8	96.8	97.24	95.64	33.42	77.82	96.82	55.29	79.36	95.66	74.87				
42	Zagreb	Croatia	296.0	97.84	39.06	76.7	73.6	91.3	96.34	91.52	94.3	26.06	93.56	80.19	58.69	80.71	85.83	74.31				
43	San Jose	Costa Rica	532.0	73.97	21.66	71.5	70.1	94.2	92.5	93.94	96.78	18.71	95.0	80.61	52.07	58.74	89.84	73.73				
44	Boston	USA	1215.0	82.28	27.63	86.4	87.4	96.4	98.95	96.87	95.57	63.31	67.85	92.32	62.49	82.41	96.1	73.68				
45	New Orleans	USA	767.0	73.72	26.24	80.8	84.1	96.4	98.04	92.98	95.57	35.01	82.95	89.52	57.05	75.3	97.3	73.51				
46	Portland	USA	788.0	68.92	30.49	84.7	80.5	96.4	98.63	97.66	95.57	53.22	78.98	91.97	60.58	82.49	96.23	73.09				
47	Denver	USA	911.0	76.62	27.21	80.6	85.3	96.4	98.93	96.54	95.57	52.16	78.0	91.31	55.88	85.86	95.3	73.01				
48	Hamburg	Germany	686.0	75.75	41.32	81.1	90.4	98.4	97.79	98.63	95.64	37.02	83.19	93.72	62.71	80.53	94.72	72.59				
49	Dallas	USA	749.0	63.53	22.66	82.5	81.9	96.4	98.17	91.86	95.57	42.12	79.73	90.34	50.78	74.26	94.49	72.33				
50	Phoenix	USA	744.0	70.28	26.0	78.0	81.0	96.4	98.14	92.82	95.57	42.97	84.03	90.68	52.64	76.11	95.31	72.01				
51	Budapest	Hungary	246.0	85.43	33.5	88.6	59.5	91.4	95.83	91.01	94.3	48.78	94.22	77.38	63.4	81.51	88.26	71.76				
52	Helsinki	Finland	715.0	76.97	36.5	84.9	93.0	99.9	98.32	98.49	100.0	32.26	83.27	92.99	56.22	74.78	98.26	71.54				
53	Rio de Janeiro	Brazil	119.0	72.75	28.43	69.6	65.3	84.9	95.51	93.22	95.57	18.56	97.56	73.13	64.12	85.29	81.71	70.95				
54	Atlanta	USA	930.0	68.39	28.17	81.3	82.7	96.4	98.25	93.1	95.57	37.59	79.54	90.52	55.29	83.81	91.84	70.6				
55	Bali	Indonesia	212.0	80.07	26.18	60.1	53.3	82.3	81.89	81.77	83.92	5.86	97.63	51.8	53.77	96.09	90.31	70.56				
56	Cologne	Germany	575.0	68.66	41.32	81.7	90.4	98.4	97.79	99.89	95.64	37.02	85.25	93.78	55.46	81.17	94.39	70.25				
57	Honolulu	USA	1148.0	67.92	29.89	83.6	88.9	96.4	98.75	94.64	95.57	58.94	71.94	91.8	50.99	82.94	98.99	69.68				
58	Bangkok	Thailand	655.0	66.87	22.2	81.0	54.9	77.9	93.36	91.18	89.06	4.43	91.66	81.05	64.68	50.0	73.54	69.15				
59	Frankfurt	Germany	837.0	69.4	41.32	69.4	90.4	98.4	97.79	98.35	95.64	37.02	81.22	93.68	59.77	81.68	90.67	69.13				
60	Toulouse	France	419.0	77.73	37.96	93.8	79.6	96.3	98.77	96.11	95.64	33.12	90.25	93.36	54.21	83.31	94.99	68.96				
61	Rome	Italy	519.0	94.6	43.35	78.9	76.3	91.9	96.62	90.43	96.78	36.29	84.09	92.38	64.65	81.48	89.51	68.86				
62	Las Palmas	Spain	431.0	74.78	38.38	75.7	72.4	94.5	98.82	98.76	97.78	36.67	91.44	95.11	55.13	100.0	93.59	68.8				
63	Warsaw	Poland	305.0	94.96	32.3	81.1	74.4	93.3	96.2	83.77	97.78	33.36	88.21	78.86	58.05	80.58	84.9	68.48				
64	Amsterdam	Netherlands	866.0	79.21	37.52	87.9	84.1	99.3	99.1	99.24	99.07	34.44	73.73	96.54	61.88	80.57	93.97	68.45				
65	Mexico City	Mexico	456.0	63.64	28.82	74.9	61.4	79.2	97.24	92.45	92.29	16.02	94.49	73.95	80.02	92.68	68.48	68.21				
66	Stockholm	Sweden	786.0	77.03	40.8	85.5	87.2	99.6	99.41	100.0	100.0	30.46	81.38	96.62	60.36	79.43	94.92	67.73				
67	Nantes	France	481.0	68.17	37.96	85.2	79.6	96.3	98.77	96.11	95.64	33.12	90.91	92.09	53.49	83.81	94.68	67.67				
68	Bari	Italy	331.0	100.0	42.32	68.8	76.3	91.9	96.62	93.33	96.78	36.29	93.59	91.16	54.5	83.03	88.54	67.55				
69	Copenhagen	Denmark	1059.0	82.62	43.8	89.1	84.0	99.6	99.26	98.96	99.07	36.5	75.68	92.32	61.59	80.11	92.53	66.2				
70	Istanbul	Turkey	169.0	69.03	33.69	64.2	50.0	76.1	89.37	79.35	79.3	20.62	99.47	76.33	66.74	85.55	81.82	64.03				
71	Brussels	Belgium	696.0	70.45	47.74	77.4	97.0	97.4	98.68	98.43	96.72	37.63	85.76	94.57	59.86	81.57	90.55	63.18				
72	Shanghai	China	757.0	70.31	43.19	66.2	54.3	50.0	92.05	85.91	50.0	32.3	84.46	80.28	72.0	79.19	66.91	59.38				
73	Marrakesh	Morocco	336.0	63.66	35.25	50.0	52.3	80.1	77.84	68.16	79.3	22.61	98.38	62.55	52.85	81.28	73.53	55.85				
74	Medellin	Colombia	226.0	65.63	33.66	50.2	57.2	79.4	95.86	97.6	93.84	12.8	99.01	79.48	50.0	93.17	72.09	50.0				
